ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
배구,,충남,예산군,예산능금좌식배구클럽,지체장애,매주 수 19시,예산능금좌식배구클럽입니다.  매주 수요일 19시 예산군장애인종합복지관에서 훈련 진행하오니 많은 관심과 참여 부탁드립니다
배구,,광주,서구,어등배구클럽,지체장애,"매주 월,수 오후7시",
배구,,충남,당진시,(도비)U&amp;I좌식배구클럽,기타장애,매주금요일 저녁7시,
배구,,충남,계룡시,(도비)계룡시 장애인 발리홀릭좌식배구 클럽,지체장애,매주 금 19:00~21:00,
배구,,강원,인제군,인제군좌식배구동호인클럽,지체장애,"매주 금,오후 13시",
배구,,경기,군포시,군포시여자배구단,지체장애,매주화.목18시,군포시여자배구단은 창단3년차 팀으로 경기도내 여자신인선수  발굴과 저변확대를 목표로 운영하고있으며 누구나 좌식배구에 관심이 있으시면 참여가능합니다.
배구,,강원,홍천군,홍천무궁이좌식배구클럽,지체장애,매주 토요일 13:00~,
배구,,충남,천안시,(도비)브라더스좌식배구스포츠클럽,지체장애,매주 목 18:30~20:30,
배구,,충남,홍성군,(도비)2022년 미래로홍성 좌식배구스포츠클럽,지체장애,매주 화 19:00 ~ 21:00,
배구,,충남,아산시,(도비)아산 아랑이 좌식배구 스포츠클럽,지체장애,매주 목 18:00~22:00,
배구,,충남,청양군,(기금)청양좌식배구클럽,지체장애,매주 목 오후 7시,
배구,,충남,서산시,팡팡배구클럽,지체장애,매주 월 19시,
배구,,전남,영암군,챔피온배구클럽,지적장애,매주 목 오후 4시 30분,"청각 및 지적장애 중, 고등부 학생 위주로 구성되었으며, 배구 기초 기능 및 경기력 향상으로 장애청소년들의 신체 발달과 사회성 향상을 도모함."
배구,,전북,정읍시,2022전북장애인생활체육단이와풍이좌식배구클럽,지체장애,매주 목 16:00-18:00,
배드민턴,,충남,천안시,(도비)드리븐배드민턴스포츠클럽,지체장애,매주 목 18:00~20:00,
배드민턴,,충북,증평군,2022 증평군장애인배드민턴클럽,기타장애,매주 수 오후 1시 30분,증평군배드민턴클럽- 장소: 증평실내체육관
배드민턴,,경기,의정부시,블루윙배드민턴클럽,지체장애,"월,수,금,토",
배드민턴,,충북,청주시,2022 해피드림배드민턴클럽,지적장애,매주 화 오후6시,해피드림배드민턴클럽 지속적인 운영으로 수준 향상
배드민턴,,광주,광산구,빛고을클럽,지체장애,매주 월.수.금.토 오후 7~10시,빛고을배드민턴클럽은 비장애인들과 같이 어울려서 운동하는 클럽입니다
배드민턴,,세종,NULL,다솜배드민턴동호회,지체장애,매주 월.수 오후5시~,세종시 거주 장애인과 비장애인의 어울림 동호회 입니다. 많은 참여바랍니다.
배드민턴,,대구,달서구,재미나는배드민턴클럽,기타장애,"매주 월,수,금 오후 2시",장애인 중심으로 이루어진 좌식 배드민턴클럽
배드민턴,,대전,대덕구,온누리장애인배드민턴클럽,지체장애,"매주 수 오후 6시, 토 오전 9시",
